web-scraper-order;web-scraper-start-url;Title;Date;URL;URL-href;
1685234117-74;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Auftakt für den heißen Winter;09.10.2022;;https://www.sueddeutsche.de/politik/oeffentlicher-dienst-verdi-tarifrunde-streiks-1.5671342;
1685234117-75;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;"Die Hilfe wird nicht so schnell ankommen, wie es sein müsste";04.10.2022;;https://www.sueddeutsche.de/muenchen/dachau/dachau-wohngeld-armut-energiekosten-hilfe-landratsamt-1.5668652;
1685234117-77;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;"Wir sind absolut machtlos";26.09.2022;;https://www.sueddeutsche.de/muenchen/freising/energiekosten-inflation-kostensteigerung-wohlfahrtsverbaende-freising-1.5663810;
1685234117-78;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Extreme Rechte siegt in Italien: Neuer Ärger für die EU;26.09.2022;;https://www.sueddeutsche.de/politik/podcast-nachrichten-italien-faschismus-meloni-1.5664280;
1685234117-79;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;"Die Löhne müssen steigen, und zwar spürbar";24.09.2022;;https://www.sueddeutsche.de/wirtschaft/miete-inflation-energie-vonovia-1.5662860;
1685234117-80;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Nachrichten am 23. September 2022;23.09.2022;;https://www.sueddeutsche.de/politik/news-nachrichten-ukraine-scheinreferenden-in-ukraine-eu-und-deserteure-hilary-mantel-tot-1.5663103;
1685234117-81;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Länder befürchten Defizit von 30 Milliarden Euro;23.09.2022;;https://www.sueddeutsche.de/politik/nahverkehr-finanzstreit-bundeslaender-1.5662928;
1685234117-82;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Zögern gilt nicht mehr;18.09.2022;;https://www.sueddeutsche.de/meinung/arbeitszeiterfassung-bundesarbeitsgericht-urteil-koalition-sozialpolitik-1.5659528;
1685234117-83;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;"Das Verweigern fällt nun leichter";15.09.2022;;https://www.sueddeutsche.de/politik/buergergeld-hartz-iv-sanktionen-interview-1.5657558;
1685234117-84;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Nachrichten am 14. September 2022;14.09.2022;;https://www.sueddeutsche.de/politik/news-nachrichten-europaeische-union-sanktionen-selenskij-1.5657456;
